Сценарий,Модель,Средняя загрузка CPU,Среднее энергопотребление (Вт),Средний джиттер (мс),Средняя задержка (мс),Средняя загрузка RAM,Всего миграций,Реактивные миграции,Проактивные миграции
Критический,Гибридная модель,0.3755,625.3,0.02076963737578274,11.317363999999998,0.29,13.8,0.0,13.8
Критический,Q-Learning модель,0.3755,625.3,0.01976038084764652,11.123982999999999,0.29,14.2,,
Критический,Пороговая модель,0.3755,625.3,0.01951092118235112,11.021524999999999,0.29,8.0,,
Динамический,Гибридная модель,0.6366035050009887,781.9621030005933,0.2711760294707045,9.015097075200426,0.5238407781224009,30.2,1.4,28.8
Динамический,Q-Learning модель,0.6366035050009887,781.9621030005933,0.27567206081658496,8.900406467002558,0.5238407781224009,27.4,,
Динамический,Пороговая модель,0.6366035050009887,781.9621030005933,0.2843161838843386,9.211776266007114,0.5238407781224009,29.0,,
Ограниченные ресурсы,Гибридная модель,0.7257581618209797,835.4548970925878,0.33935881403635537,13.024965899621744,0.729684901717383,16.0,0.0,16.0
Ограниченные ресурсы,Q-Learning модель,0.7257581618209797,835.4548970925878,0.33991729488337297,13.02552062992333,0.729684901717383,16.2,,
Ограниченные ресурсы,Пороговая модель,0.7257581618209797,835.4548970925878,0.34018963577413724,13.037228950580351,0.729684901717383,10.6,,
Смешанный,Гибридная модель,0.4188462501798965,651.307750107938,0.210198565773549,10.966439937193504,0.3482258395046684,45.0,0.0,45.0
Смешанный,Q-Learning модель,0.4188462501798965,651.307750107938,0.21136221847118403,10.790511745217463,0.3482258395046684,43.2,,
Смешанный,Пороговая модель,0.4188462501798965,651.307750107938,0.22040792034420204,11.243673750582442,0.3482258395046684,42.6,,
Стандартный,Гибридная модель,0.43038367391770826,658.230204350625,0.3475984421483083,10.394333930454213,0.329640154891901,4.2,0.0,4.2
Стандартный,Q-Learning модель,0.43038367391770826,658.230204350625,0.3498355059634211,10.509776054920298,0.329640154891901,4.2,,
Стандартный,Пороговая модель,0.43038367391770826,658.230204350625,0.3508447453955236,10.68802553337813,0.329640154891901,3.8,,
