scenario,model,metric,value
critical,threshold,avg_migrations,0.011
critical,threshold,total_migrations,11
critical,threshold,avg_latency,10.599065000000001
critical,threshold,avg_jitter,0.025984043277001247
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,max_latency,13.569999999999999
critical,threshold,max_jitter,1.4125729184718223
critical,qlearning,avg_migrations,0.027
critical,qlearning,total_migrations,27
critical,qlearning,avg_latency,11.258209999999996
critical,qlearning,avg_jitter,0.039118610897095785
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,max_latency,16.549999999999997
critical,qlearning,max_jitter,2.427118713619093
critical,hybrid,avg_migrations,0.022
critical,hybrid,total_migrations,22
critical,hybrid,avg_latency,11.276979999999998
critical,hybrid,avg_jitter,0.032402916060440774
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,max_latency,15.389999999999997
critical,hybrid,max_jitter,2.0540338361380517
critical,threshold,avg_migrations,0.013
critical,threshold,total_migrations,13
critical,threshold,avg_latency,10.48986
critical,threshold,avg_jitter,0.028391736305528586
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,max_latency,14.15
critical,threshold,max_jitter,1.9259712484873703
critical,qlearning,avg_migrations,0.022
critical,qlearning,total_migrations,22
critical,qlearning,avg_latency,11.30142
critical,qlearning,avg_jitter,0.0309346026252837
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,max_latency,15.169999999999998
critical,qlearning,max_jitter,2.0356842215825126
critical,hybrid,avg_migrations,0.022
critical,hybrid,total_migrations,22
critical,hybrid,avg_latency,11.26957
critical,hybrid,avg_jitter,0.031942683917379124
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,max_latency,15.325
critical,hybrid,max_jitter,2.2691884562547906
critical,threshold,avg_migrations,0.01
critical,threshold,total_migrations,10
critical,threshold,avg_latency,10.361925
critical,threshold,avg_jitter,0.021639476082028195
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,max_latency,12.415
critical,threshold,max_jitter,0.9456200346862373
critical,qlearning,avg_migrations,0.022
critical,qlearning,total_migrations,22
critical,qlearning,avg_latency,10.95439
critical,qlearning,avg_jitter,0.03228791394665184
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,max_latency,14.525
critical,qlearning,max_jitter,2.076295017573369
critical,hybrid,avg_migrations,0.024
critical,hybrid,total_migrations,24
critical,hybrid,avg_latency,11.379395
critical,hybrid,avg_jitter,0.03751289033838758
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,max_latency,16.415
critical,hybrid,max_jitter,2.5083161682690642
critical,threshold,avg_migrations,0.011
critical,threshold,total_migrations,11
critical,threshold,avg_latency,10.305654999999998
critical,threshold,avg_jitter,0.022604514787998187
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,max_latency,12.704999999999998
critical,threshold,max_jitter,1.28350584338366
critical,qlearning,avg_migrations,0.021
critical,qlearning,total_migrations,21
critical,qlearning,avg_latency,11.430429999999996
critical,qlearning,avg_jitter,0.032007641491059856
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,max_latency,15.834999999999999
critical,qlearning,max_jitter,2.277242850466327
critical,hybrid,avg_migrations,0.02
critical,hybrid,total_migrations,20
critical,hybrid,avg_latency,11.870429999999997
critical,hybrid,avg_jitter,0.0340354591135134
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,max_latency,16.409999999999997
critical,hybrid,max_jitter,2.0533092801621478
critical,threshold,avg_migrations,0.011
critical,threshold,total_migrations,11
critical,threshold,avg_latency,10.814814999999998
critical,threshold,avg_jitter,0.02745236792005636
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,avg_energy,635.5
critical,threshold,max_latency,14.235
critical,threshold,max_jitter,1.4422205101855958
critical,qlearning,avg_migrations,0.023
critical,qlearning,total_migrations,23
critical,qlearning,avg_latency,11.203199999999999
critical,qlearning,avg_jitter,0.032773115218470074
critical,qlearning,avg_cpu,0.39249999999999996
critical,qlearning,avg_ram,0.3
critical,qlearning,avg_energy,635.5
critical,qlearning,max_latency,15.615
critical,qlearning,max_jitter,2.3784995795669173
critical,hybrid,avg_migrations,0.023
critical,hybrid,total_migrations,23
critical,hybrid,avg_latency,11.275714999999996
critical,hybrid,avg_jitter,0.03539053392648007
critical,hybrid,avg_cpu,0.39249999999999996
critical,hybrid,avg_ram,0.3
critical,hybrid,avg_energy,635.5
critical,hybrid,max_latency,15.749999999999996
critical,hybrid,max_jitter,2.5164290174769475
critical,hybrid,reactive_migrations,0
critical,hybrid,proactive_migrations,23
critical,threshold,avg_migrations,0.01
critical,threshold,total_migrations,10
critical,threshold,avg_latency,10.869549999999998
critical,threshold,avg_jitter,0.025179687984159344
critical,threshold,avg_cpu,0.39249999999999996
critical,threshold,avg_ram,0.3
critical,threshold,avg_energy,635.5
critical,threshold,max_latency,13.789999999999997
critical,threshold,max_jitter,1.0662860779359349
critical,qlearning,avg_migrations,0.024
critical,qlearning,total_migrations,24
critical,qlearning,avg_latency,11.316024999999998
