threshold,qlearning,hybrid
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
19.375,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,18.25,15.0
18.25,17.282647719168857,15.0
18.25,17.285433299391336,15.0
18.25,17.287408147532,15.0
18.25,17.288571816584295,15.0
18.25,17.288924180626932,15.0
18.25,17.28846543484027,15.0
18.25,17.287196095394652,15.0
18.25,17.285116999210665,15.0
18.25,17.28222930359149,15.0
18.25,17.278534485727384,15.0
18.25,17.274034342072646,15.0
18.25,17.268730987595188,15.0
18.25,17.262626854899068,15.0
18.25,17.25572469322038,15.0
18.25,17.248027567296788,15.0
18.25,17.239538856111302,15.0
18.25,17.230262251510716,15.0
18.25,17.220201756699232,15.0
18.25,17.209361684608005,15.0
18.25,17.197746656141128,15.0
18.25,17.185361598298808,15.0
18.25,17.172211742178554,15.0
18.25,17.15830262085505,15.0
18.25,17.1436400671397,15.0
18.25,17.128230211220625,15.0
18.25,17.112079478184135,15.0
18.25,17.095194585418657,15.0
18.25,17.077582539902128,15.0
18.25,16.559250635373964,15.0
18.25,16.04020644939279,15.0
18.25,16.020457840280947,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
18.25,15.375,15.0
