scenario,model,metric,value
dynamic,threshold,avg_migrations,0.044
dynamic,threshold,total_migrations,44
dynamic,threshold,avg_latency,8.725896304166053
dynamic,threshold,avg_jitter,0.21602092726322147
dynamic,threshold,avg_cpu,0.5775810741349083
dynamic,threshold,avg_ram,0.4723115247019108
dynamic,threshold,avg_energy,746.5486444809451
dynamic,threshold,max_latency,13.082178437349253
dynamic,threshold,max_jitter,1.051079027462663
dynamic,qlearning,avg_migrations,0.029
dynamic,qlearning,total_migrations,29
dynamic,qlearning,avg_latency,7.949572283237447
dynamic,qlearning,avg_jitter,0.17547123554363753
dynamic,qlearning,avg_cpu,0.5775810741349083
dynamic,qlearning,avg_ram,0.4723115247019108
dynamic,qlearning,avg_energy,746.5486444809451
dynamic,qlearning,max_latency,12.872013382010698
dynamic,qlearning,max_jitter,0.9295593818754135
dynamic,hybrid,avg_migrations,0.029
dynamic,hybrid,total_migrations,29
dynamic,hybrid,avg_latency,7.9082432601474375
dynamic,hybrid,avg_jitter,0.17508908898993664
dynamic,hybrid,avg_cpu,0.5775810741349083
dynamic,hybrid,avg_ram,0.4723115247019108
dynamic,hybrid,avg_energy,746.5486444809451
dynamic,hybrid,max_latency,12.872013382010698
dynamic,hybrid,max_jitter,0.9295593818754135
dynamic,hybrid,reactive_migrations,1
dynamic,hybrid,proactive_migrations,28
dynamic,threshold,avg_migrations,0.033
dynamic,threshold,total_migrations,33
dynamic,threshold,avg_latency,8.219131584398417
dynamic,threshold,avg_jitter,0.1960573320363261
dynamic,threshold,avg_cpu,0.578085519299603
dynamic,threshold,avg_ram,0.47262849396712614
dynamic,threshold,avg_energy,746.8513115797618
dynamic,threshold,max_latency,13.364949791136045
dynamic,threshold,max_jitter,1.056676495418423
dynamic,qlearning,avg_migrations,0.038
dynamic,qlearning,total_migrations,38
dynamic,qlearning,avg_latency,8.2341229878647
dynamic,qlearning,avg_jitter,0.19324022943188407
dynamic,qlearning,avg_cpu,0.578085519299603
dynamic,qlearning,avg_ram,0.47262849396712614
dynamic,qlearning,avg_energy,746.8513115797618
dynamic,qlearning,max_latency,14.064162874720827
dynamic,qlearning,max_jitter,1.3858387276918551
dynamic,hybrid,avg_migrations,0.053
dynamic,hybrid,total_migrations,53
dynamic,hybrid,avg_latency,8.370985727600742
dynamic,hybrid,avg_jitter,0.19945000930026358
dynamic,hybrid,avg_cpu,0.578085519299603
dynamic,hybrid,avg_ram,0.47262849396712614
dynamic,hybrid,avg_energy,746.8513115797618
dynamic,hybrid,max_latency,13.364949791136045
dynamic,hybrid,max_jitter,1.056676495418423
dynamic,hybrid,reactive_migrations,3
dynamic,hybrid,proactive_migrations,50
dynamic,threshold,avg_migrations,0.039
dynamic,threshold,total_migrations,39
dynamic,threshold,avg_latency,8.48499770925468
dynamic,threshold,avg_jitter,0.1894269579584579
dynamic,threshold,avg_cpu,0.5775871041511446
dynamic,threshold,avg_ram,0.4720533336038579
dynamic,threshold,avg_energy,746.5522624906869
dynamic,threshold,max_latency,13.082178437349253
dynamic,threshold,max_jitter,1.1192474950244964
dynamic,qlearning,avg_migrations,0.039
dynamic,qlearning,total_migrations,39
dynamic,qlearning,avg_latency,8.282945111348385
dynamic,qlearning,avg_jitter,0.1794101919293019
dynamic,qlearning,avg_cpu,0.5775871041511446
dynamic,qlearning,avg_ram,0.4720533336038579
dynamic,qlearning,avg_energy,746.5522624906869
dynamic,qlearning,max_latency,12.872013382010698
dynamic,qlearning,max_jitter,0.9964161523688284
dynamic,hybrid,avg_migrations,0.035
dynamic,hybrid,total_migrations,35
dynamic,hybrid,avg_latency,8.156277937434194
dynamic,hybrid,avg_jitter,0.17727404298127197
dynamic,hybrid,avg_cpu,0.5775871041511446
dynamic,hybrid,avg_ram,0.4720533336038579
dynamic,hybrid,avg_energy,746.5522624906869
dynamic,hybrid,max_latency,12.872013382010698
dynamic,hybrid,max_jitter,0.8884406649310116
dynamic,hybrid,reactive_migrations,2
dynamic,hybrid,proactive_migrations,33
dynamic,threshold,avg_migrations,0.28
dynamic,threshold,total_migrations,14
dynamic,threshold,avg_latency,10.284218932772424
dynamic,threshold,avg_jitter,0.3654405663737475
dynamic,threshold,avg_cpu,0.7222664217668382
dynamic,threshold,avg_ram,0.5978009602060311
dynamic,threshold,avg_energy,833.3598530601029
dynamic,threshold,max_latency,13.31192296854972
dynamic,threshold,max_jitter,0.917986081134324
dynamic,qlearning,avg_migrations,0.32
dynamic,qlearning,total_migrations,16
dynamic,qlearning,avg_latency,10.008198821230188
dynamic,qlearning,avg_jitter,0.38314472273468814
dynamic,qlearning,avg_cpu,0.7222664217668382
dynamic,qlearning,avg_ram,0.5978009602060311
dynamic,qlearning,avg_energy,833.3598530601029
dynamic,qlearning,max_latency,12.878804105059078
dynamic,qlearning,max_jitter,1.0646962496709316
dynamic,hybrid,avg_migrations,0.34
dynamic,hybrid,total_migrations,17
dynamic,hybrid,avg_latency,10.103973014147394
dynamic,hybrid,avg_jitter,0.3806682723567797
dynamic,hybrid,avg_cpu,0.7222664217668382
dynamic,hybrid,avg_ram,0.5978009602060311
dynamic,hybrid,avg_energy,833.3598530601029
dynamic,hybrid,max_latency,12.878804105059078
dynamic,hybrid,max_jitter,1.0256451819475334
dynamic,hybrid,reactive_migrations,0
dynamic,hybrid,proactive_migrations,17
dynamic,threshold,avg_migrations,0.3
dynamic,threshold,total_migrations,15
dynamic,threshold,avg_latency,10.344636799443995
dynamic,threshold,avg_jitter,0.4546351357899402
dynamic,threshold,avg_cpu,0.7274974056524495
dynamic,threshold,avg_ram,0.6044095781330788
dynamic,threshold,avg_energy,836.4984433914698
dynamic,threshold,max_latency,12.93864032984969
dynamic,threshold,max_jitter,0.8508860752671391
dynamic,qlearning,avg_migrations,0.3
dynamic,qlearning,total_migrations,15
dynamic,qlearning,avg_latency,10.027193131332073
dynamic,qlearning,avg_jitter,0.4470939244434133
dynamic,qlearning,avg_cpu,0.7274974056524495
dynamic,qlearning,avg_ram,0.6044095781330788
dynamic,qlearning,avg_energy,836.4984433914698
dynamic,qlearning,max_latency,12.93155328398393
dynamic,qlearning,max_jitter,0.9715741875138733
dynamic,hybrid,avg_migrations,0.34
dynamic,hybrid,total_migrations,17
dynamic,hybrid,avg_latency,10.536005436672362
dynamic,hybrid,avg_jitter,0.42339873372527104
dynamic,hybrid,avg_cpu,0.7274974056524495
dynamic,hybrid,avg_ram,0.6044095781330788
dynamic,hybrid,avg_energy,836.4984433914698
dynamic,hybrid,max_latency,12.93155328398393
dynamic,hybrid,max_jitter,0.8322972113967975
dynamic,hybrid,reactive_migrations,1
dynamic,hybrid,proactive_migrations,16
