time,overloaded_nodes,predicted_overloads,migrations,cpu_utilization,ram_utilization,latency,jitter,energy_consumption
0,0,0,0,0.5744054375393678,0.4545243500314943,12.93155328398393,0,744.6432625236207
1,0,0,0,0.3758758274814161,0.2957006619851329,11.266958861190336,0.8322972113967975,625.5254964888496
2,0,0,0,0.401687084517348,0.3163496676138785,11.48337632403007,0.7389878677367319,641.0122507104089
3,0,0,0,0.4273694549471927,0.33689556395775416,11.698713122249538,0.6455426090194496,656.4216729683156
4,0,0,0,0.45285913017660573,0.3572873041412846,11.912434245326923,0.5780177736267528,671.7154781059635
5,0,0,0,0.4780930604558367,0.3774744483646695,12.12401104536048,0.5368460489840303,686.8558362735021
6,0,0,0,0.5030092031633813,0.397407362530705,12.332923318831426,0.5193083826856557,701.8055218980287
7,0,0,0,0.527546767115135,0.41703741369210806,12.538661355042283,0.52158911125947,716.528060269081
8,0,0,0,0.5516464519349149,0.43631716154793193,12.740727943146595,0.5393207451857879,730.987871160949
9,0,0,0,0.5752506815417064,0.4552005452333652,12.93864032984969,0.5682672216172763,745.1504089250238
10,1,0,1,0.5983038308322126,0.4736430646657701,12.486600263574475,0.5247475413792151,758.9822984993275
11,1,0,1,0.6207524446641358,0.4916019557313087,12.416876535026649,0.4367527677972299,772.4514667984815
12,1,0,1,0.6425454482760115,0.5090363586208091,12.111334219629743,0.3574758936666626,785.5272689656068
13,1,0,1,0.6636343483132024,0.525907478650562,11.589426715720693,0.37770909728349766,798.1806089879215
14,1,0,1,0.6839734236667445,0.5421787389333956,11.04229185879537,0.5306504984449915,810.3840542000468
15,1,0,0,0.7035199053719292,0.5578159242975433,11.167088626605397,0.6202410766225059,822.1119432231575
16,2,0,1,0.7202005618238638,0.5727873158853538,10.847764944050002,0.7244686976342416,832.1203370943183
17,2,0,1,0.7325552252986665,0.5870638159006814,10.51246266527994,0.8192524252910233,839.5331351791999
18,2,0,1,0.7442857267417329,0.600619062012669,10.369988196685448,0.8508860752671391,846.5714360450397
19,2,0,1,0.7553717094884755,0.6134295309644606,10.00662042327212,0.8260640714786281,853.2230256930853
20,4,0,0,0.9153987684055427,0.8566018323937552,11.51438645246097,0.7266243196562365,949.2392610433255
21,2,0,1,0.7755414464722263,0.6367367825901283,9.91433261024756,0.6793095229078542,865.3248678833359
22,2,0,1,0.7845974411935419,0.6472014876014262,9.51615525110103,0.6654399966980138,870.7584647161251
23,2,0,0,0.7929535069985572,0.6568573858649993,9.5752047827898,0.6547678046371165,875.7721041991342
24,2,0,0,0.8006025670410244,0.6656962996918504,9.629258140423241,0.6633871323754695,880.3615402246146
25,2,0,0,0.8075403260841023,0.673713265697185,9.678284970994325,0.6188471129566748,884.5241956504615
26,2,0,0,0.8137652870826324,0.680906553962153,9.722274695383934,0.5842625394250222,888.2591722495795
27,2,0,0,0.8180314624418044,0.6872776744354117,9.761236547508863,0.5672332816687014,890.8188774650826
28,2,0,0,0.8209685132712563,0.6928313705492847,9.795199535282162,0.5525987024089912,892.5811079627538
29,2,0,0,0.8234774808092868,0.6975756000757425,9.824212323540118,0.5521614408989821,894.0864884855721
30,2,0,0,0.8255642565517176,0.7015215032977933,9.848343039398046,0.12022246902264884,895.3385539310306
31,2,0,0,0.8272363915789049,0.7046833586219292,9.867679000803333,0.1135616738972101,896.3418349473429
32,2,0,0,0.828503066532464,0.707078525806841,9.882326369357221,0.09952108926024678,897.1018399194784
33,3,0,1,0.8293750551614103,0.7087273770324849,9.66651198445296,0.08549464134573058,897.6250330968462
34,3,0,0,0.8994911161033035,0.8195344143775143,10.458384509342947,0.21505922840377031,939.6946696619821
35,3,0,1,0.8299857714171774,0.7098821859524809,9.447298807148016,0.24291092423708294,897.9914628503063
36,3,0,1,0.8297535970168364,0.7094431652681998,9.218742804633623,0.3039837645380234,897.8521582101018
37,3,0,1,0.8291848169611735,0.7083676538902189,8.986854109708121,0.38576760328023996,897.5108901767042
38,2,0,0,0.828297410099833,0.7066896481887752,8.977689617031002,0.43969038548118716,896.9784460598999
39,2,0,0,0.8271106043788217,0.7044455064617721,8.965433150675834,0.4735514706679471,896.266362627293
40,2,0,0,0.8256448007388828,0.7016738050335238,8.950295396721552,0.48990162502784224,895.3868804433297
41,2,0,0,0.8239214923852887,0.6984151856012732,8.9324983213608,0.4889986165316767,894.3528954311732
42,2,0,0,0.8219631797476747,0.6947121944319665,8.912274292666893,0.4693207278728912,893.1779078486047
43,2,0,0,0.8197932814655453,0.6906091140439403,8.889865161316907,0.4583665481277809,891.8759688793273
44,2,0,0,0.8174360417507718,0.6861517880378232,8.865521303898882,0.17105018723309412,890.4616250504631
45,2,0,0,0.8141814382607702,0.6813874397680013,8.839500632579083,0.09956346099854947,888.5088629564622
46,2,0,0,0.809834650974298,0.6763644855702999,8.81206757503779,0.05704264028408555,885.9007905845788
47,2,0,0,0.8053068355333806,0.6711323432830176,8.783492028699557,0.06308900585145148,883.1841013200284
48,2,0,0,0.8006414549378125,0.6657412368170279,8.754048293385305,0.06846530859606305,880.3848729626875
49,2,0,0,0.7958824978765613,0.6602419975462486,8.72401398659874,0.07313844882933718,877.5294987259367
