scenario,model,metric,value
mixed,threshold,avg_migrations,0.07
mixed,threshold,total_migrations,70
mixed,threshold,avg_latency,10.155940211997489
mixed,threshold,avg_jitter,0.2648374528817335
mixed,threshold,avg_cpu,0.43564011412471354
mixed,threshold,avg_ram,0.35540256796419967
mixed,threshold,avg_energy,661.3840684748282
mixed,threshold,max_latency,15.690856780176642
mixed,threshold,max_jitter,1.727750640511767
mixed,qlearning,avg_migrations,0.073
mixed,qlearning,total_migrations,73
mixed,qlearning,avg_latency,10.452077575531748
mixed,qlearning,avg_jitter,0.2671774193289121
mixed,qlearning,avg_cpu,0.43564011412471354
mixed,qlearning,avg_ram,0.35540256796419967
mixed,qlearning,avg_energy,661.3840684748282
mixed,qlearning,max_latency,14.9025116745682
mixed,qlearning,max_jitter,1.8577538374287261
mixed,hybrid,avg_migrations,0.078
mixed,hybrid,total_migrations,78
mixed,hybrid,avg_latency,11.111446635964112
mixed,hybrid,avg_jitter,0.2712231672001358
mixed,hybrid,avg_cpu,0.43564011412471354
mixed,hybrid,avg_ram,0.35540256796419967
mixed,hybrid,avg_energy,661.3840684748282
mixed,hybrid,max_latency,15.761255837284102
mixed,hybrid,max_jitter,1.6848015397166338
mixed,hybrid,reactive_migrations,0
mixed,hybrid,proactive_migrations,78
mixed,threshold,avg_migrations,0.076
mixed,threshold,total_migrations,76
mixed,threshold,avg_latency,11.487977672919612
mixed,threshold,avg_jitter,0.3046183258195095
mixed,threshold,avg_cpu,0.4358330534598244
mixed,threshold,avg_ram,0.35609139484648483
mixed,threshold,avg_energy,661.4998320758946
mixed,threshold,max_latency,18.86014886410965
mixed,threshold,max_jitter,1.906563824556868
mixed,qlearning,avg_migrations,0.068
mixed,qlearning,total_migrations,68
mixed,qlearning,avg_latency,10.538248294215208
mixed,qlearning,avg_jitter,0.27065184459317393
mixed,qlearning,avg_cpu,0.4358330534598244
mixed,qlearning,avg_ram,0.35609139484648483
mixed,qlearning,avg_energy,661.4998320758946
mixed,qlearning,max_latency,15.516377773928543
mixed,qlearning,max_jitter,1.7436795251142596
mixed,hybrid,avg_migrations,0.068
mixed,hybrid,total_migrations,68
mixed,hybrid,avg_latency,10.384280747565851
mixed,hybrid,avg_jitter,0.25124806237656006
mixed,hybrid,avg_cpu,0.4358330534598244
mixed,hybrid,avg_ram,0.35609139484648483
mixed,hybrid,avg_energy,661.4998320758946
mixed,hybrid,max_latency,14.129082961073564
mixed,hybrid,max_jitter,1.826167150112572
mixed,hybrid,reactive_migrations,0
mixed,hybrid,proactive_migrations,68
mixed,threshold,avg_migrations,0.067
mixed,threshold,total_migrations,67
mixed,threshold,avg_latency,11.877714552864408
mixed,threshold,avg_jitter,0.27850916564755757
mixed,threshold,avg_cpu,0.4356153670438748
mixed,threshold,avg_ram,0.3558099657935102
mixed,threshold,avg_energy,661.3692202263248
mixed,threshold,max_latency,17.339002582461045
mixed,threshold,max_jitter,1.746526050858496
mixed,qlearning,avg_migrations,0.075
mixed,qlearning,total_migrations,75
mixed,qlearning,avg_latency,10.265496541209668
mixed,qlearning,avg_jitter,0.2649071710616247
mixed,qlearning,avg_cpu,0.4356153670438748
mixed,qlearning,avg_ram,0.3558099657935102
mixed,qlearning,avg_energy,661.3692202263248
mixed,qlearning,max_latency,14.733334328293154
mixed,qlearning,max_jitter,1.9492132777853877
mixed,hybrid,avg_migrations,0.079
mixed,hybrid,total_migrations,79
mixed,hybrid,avg_latency,10.639735987306869
mixed,hybrid,avg_jitter,0.2744469419188398
mixed,hybrid,avg_cpu,0.4356153670438748
mixed,hybrid,avg_ram,0.3558099657935102
mixed,hybrid,avg_energy,661.3692202263248
mixed,hybrid,max_latency,16.248341582787692
mixed,hybrid,max_jitter,1.923772961483723
mixed,hybrid,reactive_migrations,0
mixed,hybrid,proactive_migrations,79
mixed,threshold,avg_migrations,0.0
mixed,threshold,total_migrations,0
mixed,threshold,avg_latency,11.35845263734794
mixed,threshold,avg_jitter,0.1133128735743336
mixed,threshold,avg_cpu,0.3944554906962019
mixed,threshold,avg_ram,0.3385259849099564
mixed,threshold,avg_energy,636.6732944177212
mixed,threshold,max_latency,11.788123822517727
mixed,threshold,max_jitter,0.18207690648825917
mixed,qlearning,avg_migrations,0.0
mixed,qlearning,total_migrations,0
mixed,qlearning,avg_latency,11.35845263734794
mixed,qlearning,avg_jitter,0.1133128735743336
mixed,qlearning,avg_cpu,0.3944554906962019
mixed,qlearning,avg_ram,0.3385259849099564
mixed,qlearning,avg_energy,636.6732944177212
mixed,qlearning,max_latency,11.788123822517727
mixed,qlearning,max_jitter,0.18207690648825917
mixed,hybrid,avg_migrations,0.0
mixed,hybrid,total_migrations,0
mixed,hybrid,avg_latency,11.35845263734794
mixed,hybrid,avg_jitter,0.1133128735743336
mixed,hybrid,avg_cpu,0.3944554906962019
mixed,hybrid,avg_ram,0.3385259849099564
mixed,hybrid,avg_energy,636.6732944177212
mixed,hybrid,max_latency,11.788123822517727
mixed,hybrid,max_jitter,0.18207690648825917
mixed,hybrid,reactive_migrations,0.0
mixed,hybrid,proactive_migrations,0.0
mixed,threshold,avg_migrations,0.0
mixed,threshold,total_migrations,0
mixed,threshold,avg_latency,11.338283677782757
mixed,threshold,avg_jitter,0.140761783797876
mixed,threshold,avg_cpu,0.3926872255748681
mixed,threshold,avg_ram,0.3352992840091912
mixed,threshold,avg_energy,635.6123353449209
mixed,threshold,max_latency,11.697342636925745
mixed,threshold,max_jitter,0.18495721554869277
mixed,qlearning,avg_migrations,0.0
