threshold,qlearning,hybrid
880.0,865.0,852.0
882.3598606693635,867.2598673358968,854.1638739357636
884.7188854196236,869.5189387486904,856.3269915444343
887.0762386552344,871.7764186228372,858.4885967905209
889.4310854276359,874.0315119577901,860.647934221619
891.7825917584271,876.283424675193,862.8042492596671
894.1299249621519,878.5313639257073,864.9567884918546
896.4722539685748,880.7745383953537,867.1047999610674
898.8087496443148,883.0121586112436,869.24753345576
901.1385851137106,885.2434372465815,871.3842407991316
903.4609360787916,887.4675894248163,873.5141761375
905.774981138225,889.6838330228206,875.6365962277513
891.8913889729791,891.8913889729791,877.7507607237588
894.0894815640635,894.0894815640635,879.8559324616508
896.2773387407832,896.2773387407832,881.9513777438203
898.4541924018765,898.4541924018765,884.0363666215595
900.6192786966437,900.6192786966437,886.1101731762092
902.7718383197894,902.7718383197894,888.172075798712
904.9111168044635,904.9111168044635,890.2213574674579
907.0363648133875,907.0363648133875,892.257306024313
909.146838427944,909.146838427944,894.2792144487188
911.2417994351189,911.2417994351189,896.2863811297593
913.3205156121813,913.3205156121813,898.2781101360836
915.3822610089913,915.3822610089913,900.2537114835776
917.4263162278174,917.4263162278174,902.2125014006812
919.4519687005619,919.4519687005619,904.1538025912429
921.4585129632727,921.4585129632727,906.0769444948108
923.4452509278439,923.4452509278439,907.9812635442536
925.4114921507919,925.4114921507919,909.8661034206132
927.3565540990018,927.3565540990018,911.7308153050845
929.2797624123364,929.2797624123364,913.574758128026
931.1804511630077,931.1804511630077,915.3972988148987
933.0579631116073,933.0579631116073,917.1978125290418
934.9116499596914,934.9116499596914,918.9756829111823
936.7408725988241,936.7408725988241,920.7303023155878
938.5450013559768,938.5450013559768,922.4610720427706
940.3234162351933,940.3234162351933,924.1674025686459
942.0755071554127,942.0755071554127,925.8487137700577
943.8006741843697,943.8006741843697,927.5044351465822
945.4983277684729,945.4983277684729,929.1340060385198
947.1678889585661,947.1678889585661,930.7368758409918
948.8087896314944,948.8087896314944,932.3125042140534
950.4204727073763,950.4204727073763,933.8603612887457
952.0023923625031,952.0023923625031,935.3799278689984
953.5540142377781,953.5540142377781,936.8706956293095
955.0748156426151,955.0748156426151,938.3321673081223
956.5642857542133,956.5642857542133,939.7638568968177
958.0219258121324,958.0219258121324,941.1652898242586
959.4472493080884,959.4472493080884,942.5360031367998
960.8397821708986,960.8397821708986,943.8755456737075
962.1990629465017,962.1990629465017,945.1834782379037
963.5246429729742,963.5246429729742,946.4593737619805
964.8160865504916,964.8160865504916,947.7028174694124
966.0729711061485,966.0729711061485,948.9134070309052
967.2948873535821,967.2948873535821,950.0907527158186
968.4814394473401,968.4814394473401,951.2344775386051
969.6322451319197,969.6322451319197,952.3442174002054
970.7469358854314,970.7469358854314,953.4196212243461
971.8251570578257,971.8251570578257,954.4603510886833
972.8665680036222,972.8665680036222,955.4660823507471
973.870842209108,973.870842209108,956.4365037686298
974.8376674139289,974.8376674139289,957.3713176163736
975.7667457270493,975.7667457270493,958.2702397940163
976.6577937370208,976.6577937370208,959.132999932245
977.5105426165227,977.5105426165227,959.9593414916213
978.3247382211308,978.3247382211308,960.7490218563394
979.1001411822789,979.1001411822789,961.501812422477
979.8365269943712,979.8365269943712,962.2174986807095
980.5336860960198,980.5336860960198,962.8958802934508
981.1914239453647,981.1914239453647,963.536771166392
981.8095610894603,981.8095610894603,964.1399995144134
982.3879332276884,982.3879332276884,964.7054079218387
982.9263912691832,982.9263912691832,965.2328533970134
983.4248013842393,983.4248013842393,965.7222074211827
983.8830450496891,983.8830450496891,966.1733559916521
984.3010190882251,984.3010190882251,966.5861996592143
984.6786357016604,984.6786357016604,966.9606535598266
985.0158224981054,965.0181933450781,967.296647440529
985.3125225130613,965.3128139119113,967.5941256795918
985.568694224414,965.5689059919204,967.8530473008874
985.784311561326,965.7864435461184,968.0733859824779
985.9593639070247,965.9654151896722,968.2551300594205
986.0938560954899,966.1058241888941,968.3982825207846
986.1878084020293,966.2076884524467,968.5028610008907
986.2412565277682,966.2710405167778,968.5688977647661
986.2542515780349,966.2959275257725,968.5964396878289
986.2268600346763,966.2824112046529,968.5855482298111
986.1591637222956,966.2305678281178,968.536299402928
986.0512597684365,966.1404881827484,968.4487837343081
985.90326055773,966.0122775236898,968.3231062227005
985.7152936800178,965.8460555256269,968.1593862894779
985.4875018724817,965.6419562280794,967.9577577239553
985.2200429557917,965.4001279750295,967.7183686230443
984.913089764313,965.1207333489184,967.4413813252718
984.5668300703855,964.8039490990277,967.1269723391897
984.1814665027216,964.4499660642846,966.7753322662005
983.7572164589418,964.0589890905152,966.3866657178354
983.294312012293,963.6312369421823,965.9611912275175
982.792999812587,963.1669422086461,965.4991411568429
982.2535409813905,962.6663512049815,965.0007615964219
981.6762110015239,962.1297238673956,964.4663122613188
981.0612996008983,961.5573336432851,963.8960663811321
980.4091106307483,960.9494673759814,963.2903105847611
