scenario,model,metric,value
standard,threshold,avg_migrations,0.005
standard,threshold,total_migrations,5
standard,threshold,avg_latency,9.67512614203292
standard,threshold,avg_jitter,0.31767669976191487
standard,threshold,avg_cpu,0.3856960213256731
standard,threshold,avg_ram,0.29731321775474295
standard,threshold,max_latency,13.180915393583343
standard,threshold,max_jitter,0.7411576428383004
standard,qlearning,avg_migrations,0.005
standard,qlearning,total_migrations,5
standard,qlearning,avg_latency,9.5262044043135
standard,qlearning,avg_jitter,0.3111125787856007
standard,qlearning,avg_cpu,0.3856960213256731
standard,qlearning,avg_ram,0.29731321775474295
standard,qlearning,max_latency,13.259027344172154
standard,qlearning,max_jitter,0.6460259942562663
standard,hybrid,avg_migrations,0.005
standard,hybrid,total_migrations,5
standard,hybrid,avg_latency,10.063004593652293
standard,hybrid,avg_jitter,0.3329538073857313
standard,hybrid,avg_cpu,0.3856960213256731
standard,hybrid,avg_ram,0.29731321775474295
standard,hybrid,max_latency,13.180915393583343
standard,hybrid,max_jitter,0.6584828296972783
standard,threshold,avg_migrations,0.005
standard,threshold,total_migrations,5
standard,threshold,avg_latency,9.62189205667087
standard,threshold,avg_jitter,0.3288232842472649
standard,threshold,avg_cpu,0.384085681879668
standard,threshold,avg_ram,0.2961347621927274
standard,threshold,max_latency,13.888243658747314
standard,threshold,max_jitter,0.85475467187925
standard,qlearning,avg_migrations,0.005
standard,qlearning,total_migrations,5
standard,qlearning,avg_latency,9.558874484545012
standard,qlearning,avg_jitter,0.3294708513151511
standard,qlearning,avg_cpu,0.384085681879668
standard,qlearning,avg_ram,0.2961347621927274
standard,qlearning,max_latency,13.888243658747314
standard,qlearning,max_jitter,0.6693849263845656
standard,hybrid,avg_migrations,0.005
standard,hybrid,total_migrations,5
standard,hybrid,avg_latency,9.58407627785515
standard,hybrid,avg_jitter,0.3271697098667254
standard,hybrid,avg_cpu,0.384085681879668
standard,hybrid,avg_ram,0.2961347621927274
standard,hybrid,max_latency,13.888243658747314
standard,hybrid,max_jitter,0.6693849263845656
standard,threshold,avg_migrations,0.005
standard,threshold,total_migrations,5
standard,threshold,avg_latency,9.698048836747414
standard,threshold,avg_jitter,0.32771992222910273
standard,threshold,avg_cpu,0.38533131639664214
