scenario,model,metric,value
user_migration,threshold,avg_migrations,0.0
user_migration,threshold,total_migrations,0
user_migration,threshold,avg_latency,9.6395201439653
user_migration,threshold,avg_jitter,0.02640508798193087
user_migration,threshold,avg_cpu,0.1899952002959809
user_migration,threshold,avg_ram,0.1499976001479905
user_migration,threshold,max_latency,9.911961740178093
user_migration,threshold,max_jitter,0.0673742917309626
user_migration,qlearning,avg_migrations,0.0
user_migration,qlearning,total_migrations,0
user_migration,qlearning,avg_latency,9.6395201439653
user_migration,qlearning,avg_jitter,0.02640508798193087
user_migration,qlearning,avg_cpu,0.1899952002959809
user_migration,qlearning,avg_ram,0.1499976001479905
user_migration,qlearning,max_latency,9.911961740178093
user_migration,qlearning,max_jitter,0.0673742917309626
user_migration,hybrid,avg_migrations,0.0
user_migration,hybrid,total_migrations,0
user_migration,hybrid,avg_latency,9.6395201439653
user_migration,hybrid,avg_jitter,0.02640508798193087
user_migration,hybrid,avg_cpu,0.1899952002959809
user_migration,hybrid,avg_ram,0.1499976001479905
user_migration,hybrid,max_latency,9.911961740178093
user_migration,hybrid,max_jitter,0.0673742917309626
user_migration,threshold,avg_migrations,0.0
user_migration,threshold,total_migrations,0
user_migration,threshold,avg_latency,9.731186718901593
user_migration,threshold,avg_jitter,0.03212371181069667
user_migration,threshold,avg_cpu,0.19596675556736212
user_migration,threshold,avg_ram,0.15298337778368107
user_migration,threshold,max_latency,10.01729518312014
user_migration,threshold,max_jitter,0.09263391291690788
user_migration,qlearning,avg_migrations,0.0
user_migration,qlearning,total_migrations,0
user_migration,qlearning,avg_latency,9.731186718901593
user_migration,qlearning,avg_jitter,0.03212371181069667
user_migration,qlearning,avg_cpu,0.19596675556736212
user_migration,qlearning,avg_ram,0.15298337778368107
user_migration,qlearning,max_latency,10.01729518312014
user_migration,qlearning,max_jitter,0.09263391291690788
user_migration,hybrid,avg_migrations,0.0
user_migration,hybrid,total_migrations,0
user_migration,hybrid,avg_latency,9.731186718901593
user_migration,hybrid,avg_jitter,0.03212371181069667
user_migration,hybrid,avg_cpu,0.19596675556736212
user_migration,hybrid,avg_ram,0.15298337778368107
user_migration,hybrid,max_latency,10.01729518312014
user_migration,hybrid,max_jitter,0.09263391291690788
user_migration,threshold,avg_migrations,0.0
user_migration,threshold,total_migrations,0
user_migration,threshold,avg_latency,9.654483258568025
user_migration,threshold,avg_jitter,0.029319974279476198
user_migration,threshold,avg_cpu,0.19088446528356054
user_migration,threshold,avg_ram,0.1504422326417803
user_migration,threshold,max_latency,9.929840629958248
user_migration,threshold,max_jitter,0.07326259325054665
user_migration,qlearning,avg_migrations,0.0
user_migration,qlearning,total_migrations,0
user_migration,qlearning,avg_latency,9.654483258568025
user_migration,qlearning,avg_jitter,0.029319974279476198
user_migration,qlearning,avg_cpu,0.19088446528356054
user_migration,qlearning,avg_ram,0.1504422326417803
user_migration,qlearning,max_latency,9.929840629958248
user_migration,qlearning,max_jitter,0.07326259325054665
user_migration,hybrid,avg_migrations,0.0
user_migration,hybrid,total_migrations,0
user_migration,hybrid,avg_latency,9.654483258568025
user_migration,hybrid,avg_jitter,0.029319974279476198
user_migration,hybrid,avg_cpu,0.19088446528356054
user_migration,hybrid,avg_ram,0.1504422326417803
user_migration,hybrid,max_latency,9.929840629958248
user_migration,hybrid,max_jitter,0.07326259325054665
user_migration,threshold,avg_migrations,0.0
user_migration,threshold,total_migrations,0
user_migration,threshold,avg_latency,9.71479279083851
user_migration,threshold,avg_jitter,0.028344434051985296
user_migration,threshold,avg_cpu,0.19514267286826695
user_migration,threshold,avg_ram,0.1525713364341335
user_migration,threshold,max_latency,9.932591907520788
user_migration,threshold,max_jitter,0.08449322010294323
user_migration,qlearning,avg_migrations,0.0
user_migration,qlearning,total_migrations,0
user_migration,qlearning,avg_latency,9.71479279083851
user_migration,qlearning,avg_jitter,0.028344434051985296
user_migration,qlearning,avg_cpu,0.19514267286826695
user_migration,qlearning,avg_ram,0.1525713364341335
user_migration,qlearning,max_latency,9.932591907520788
user_migration,qlearning,max_jitter,0.08449322010294323
user_migration,hybrid,avg_migrations,0.0
user_migration,hybrid,total_migrations,0
user_migration,hybrid,avg_latency,9.71479279083851
user_migration,hybrid,avg_jitter,0.028344434051985296
user_migration,hybrid,avg_cpu,0.19514267286826695
user_migration,hybrid,avg_ram,0.1525713364341335
user_migration,hybrid,max_latency,9.932591907520788
user_migration,hybrid,max_jitter,0.08449322010294323
