Сценарий,Модель,Средняя загрузка CPU,Среднее энергопотребление (Вт),Средний джиттер (мс),Средняя задержка (мс),Средняя загрузка RAM,Всего миграций,Реактивные миграции,Проактивные миграции
Критический,Гибридная модель,0.5223810009627244,0.0173973644750036,10.0786252170788,8.039312608539399,0.4179048007701795,373.0,200.0,173.0
Критический,Q-Learning модель,0.5223810009627244,0.020621236355582,5.739024216386603,6.869512108193301,0.4179048007701795,384.0,,
Критический,Пороговая модель,0.5223810009627244,0.022210676516923,8.404949519559528,22.35059721895446,0.4179048007701795,376.0,,
Динамический,Гибридная модель,0.3092723536301739,0.0130134656562943,6.774065357439899,6.38703267871995,0.2474178829041392,377.0,200.0,177.0
Динамический,Q-Learning модель,0.3092723536301739,0.0159595276320865,3.950727018423863,5.975363509211932,0.2474178829041392,397.0,,
Динамический,Пороговая модель,0.3092723536301739,0.0165252974203385,5.603299679706352,16.567064812636303,0.2474178829041392,376.0,,
Ограниченные ресурсы,Гибридная модель,0.7593385753429961,0.0154704780615334,8.527021824944738,7.263510912472369,0.6074708602743969,792.0,412.0,380.0
Ограниченные ресурсы,Q-Learning модель,0.7593385753429961,0.0180960911085531,4.9773665411354475,6.489951375006023,0.6074708602743969,850.0,,
Ограниченные ресурсы,Пороговая модель,0.7593385753429961,0.0230043037697331,9.70019630143056,24.466696636622377,0.6074708602743969,1051.0,,
Смешанный,Гибридная модель,0.5201718832851537,0.0133685928150925,7.174898825791153,6.587449412895575,0.416137506628123,519.0,297.0,222.0
Смешанный,Q-Learning модель,0.5201718832851537,0.0157294632354175,3.940836882803271,5.970418441401635,0.416137506628123,537.0,,
Смешанный,Пороговая модель,0.5201718832851537,0.0172189990487118,6.306509495557821,17.22894699899821,0.416137506628123,527.0,,
Стандартный,Гибридная модель,0.7109805264021812,0.0262672604081838,18.196619432527235,12.115739301351594,0.568784421121745,336.0,183.0,153.0
Стандартный,Q-Learning модель,0.7109805264021812,0.0288944192406808,10.026961742527437,9.013480871263718,0.568784421121745,333.0,,
Стандартный,Пороговая модель,0.7109805264021812,0.0336356584341047,15.751558188102836,36.34735308785304,0.568784421121745,339.0,,
