scenario,model,metric,value
critical,threshold,avg_migrations,0.376
critical,threshold,total_migrations,376.0
critical,threshold,avg_latency,22.35059721895446
critical,threshold,avg_jitter,8.404949519559528
critical,threshold,avg_cpu,0.5223810009627244
critical,threshold,avg_ram,0.41790480077017955
critical,threshold,avg_energy,0.022210676516923
critical,threshold,max_latency,101.46493869736213
critical,threshold,max_jitter,96.46493869736213
critical,threshold,reactive_migrations,
critical,threshold,proactive_migrations,
critical,qlearning,avg_migrations,0.384
critical,qlearning,total_migrations,384.0
critical,qlearning,avg_latency,6.869512108193301
critical,qlearning,avg_jitter,5.739024216386603
critical,qlearning,avg_cpu,0.5223810009627244
critical,qlearning,avg_ram,0.41790480077017955
critical,qlearning,avg_energy,0.020621236355582075
critical,qlearning,max_latency,101.46493869736213
critical,qlearning,max_jitter,96.46493869736213
critical,qlearning,reactive_migrations,
critical,qlearning,proactive_migrations,
critical,hybrid,avg_migrations,0.373
critical,hybrid,total_migrations,373.0
critical,hybrid,avg_latency,8.039312608539399
critical,hybrid,avg_jitter,10.0786252170788
critical,hybrid,avg_cpu,0.5223810009627244
critical,hybrid,avg_ram,0.41790480077017955
critical,hybrid,avg_energy,0.017397364475003663
critical,hybrid,max_latency,101.46493869736213
critical,hybrid,max_jitter,96.46493869736213
critical,hybrid,reactive_migrations,200.0
critical,hybrid,proactive_migrations,173.0
