time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,hybrid,3.0,0.0,0.006666666666666666,False,False,,0.5,0.4,0,0,0,0.006666666666666666,3.0,0.0,0.006666666666666666
1,hybrid,3.0,0.0,0.005026216861091585,False,False,,0.3769662645818689,0.3015730116654951,0,0,0,0.011692883527758251,3.0,0.0,0.005846441763879126
2,hybrid,3.0,0.0,0.004022555478839781,False,False,,0.30169166091298355,0.24135332873038684,0,0,0,0.015715439006598032,3.0,0.0,0.005238479668866011
3,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.019715439006598032,3.0,0.0,0.004928859751649508
4,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.023715439006598033,3.0,0.0,0.004743087801319606
5,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.027715439006598033,3.0,0.0,0.004209754467986273
6,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.03171543900659803,3.0,0.0,0.004004511095767957
7,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.03571543900659803,3.0,0.0,0.004
8,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.03971543900659803,3.0,0.0,0.004
9,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.043715439006598036,3.0,0.0,0.004
10,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.04771543900659804,3.0,0.0,0.004
11,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.051715439006598043,3.0,0.0,0.004
12,hybrid,3.0,0.0,0.004724782010571521,False,False,,0.35435865079286416,0.2834869206342913,0,0,0,0.05644022101716956,3.0,0.0,0.004144956402114304
13,hybrid,3.0,0.0,0.004034437075917219,False,False,,0.30258278069379146,0.24206622455503318,0,0,0,0.06047465809308678,3.0,0.0,0.004151843817297748
14,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.06447465809308678,3.0,0.0,0.004151843817297748
15,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.06847465809308678,3.0,0.0,0.004151843817297748
16,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.07247465809308679,3.0,0.0,0.004151843817297748
17,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.07647465809308679,3.0,0.0,0.004006887415183444
18,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.08047465809308679,3.0,0.0,0.004
19,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.0844746580930868,3.0,0.0,0.004
20,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.0884746580930868,3.0,0.0,0.004
21,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.0924746580930868,3.0,0.0,0.004
22,hybrid,3.0,0.0,0.004,False,False,,0.3,0.24,0,0,0,0.09647465809308681,3.0,0.0,0.004
