scenario,model,metric,value
dynamic,threshold,avg_migrations,0.388
dynamic,threshold,total_migrations,388.0
dynamic,threshold,avg_latency,16.946817156302096
dynamic,threshold,avg_jitter,5.96392607438182
dynamic,threshold,avg_cpu,0.3088065068620012
dynamic,threshold,avg_ram,0.24704520548960104
dynamic,threshold,avg_energy,0.02509162953249278
dynamic,threshold,max_latency,39.2295505591589
dynamic,threshold,max_jitter,36.2111517411484
dynamic,threshold,reactive_migrations,
dynamic,threshold,proactive_migrations,
dynamic,qlearning,avg_migrations,0.403
dynamic,qlearning,total_migrations,403.0
dynamic,qlearning,avg_latency,7.971733092792543
dynamic,qlearning,avg_jitter,4.9213549176422084
dynamic,qlearning,avg_cpu,0.3088065068620012
dynamic,qlearning,avg_ram,0.24704520548960104
dynamic,qlearning,avg_energy,0.02114017544905392
dynamic,qlearning,max_latency,39.2295505591589
dynamic,qlearning,max_jitter,36.2111517411484
dynamic,qlearning,reactive_migrations,
dynamic,qlearning,proactive_migrations,
dynamic,hybrid,avg_migrations,0.368
dynamic,hybrid,total_migrations,368.0
dynamic,hybrid,avg_latency,8.680478808758341
dynamic,hybrid,avg_jitter,11.52224825133394
dynamic,hybrid,avg_cpu,0.3088065068620012
dynamic,hybrid,avg_ram,0.24704520548960104
dynamic,hybrid,avg_energy,0.01794151846306537
dynamic,hybrid,max_latency,39.2295505591589
dynamic,hybrid,max_jitter,36.2111517411484
dynamic,hybrid,reactive_migrations,185.0
dynamic,hybrid,proactive_migrations,183.0
