time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,hybrid,76.55454255439022,73.55454255439022,0.17562621981597867,True,True,reactive,0.7560595704057373,0.6048476563245899,3,0,1,0.17562621981597867,76.55454255439022,73.55454255439022,0.17562621981597867
1,hybrid,77.1073897858949,74.1073897858949,0.18208675945756006,True,True,reactive,0.8259646198958295,0.6607716959166636,4,1,2,0.35771297927353873,76.83096617014256,73.83096617014256,0.17885648963676937
2,hybrid,72.23874559404211,69.23874559404211,0.13357116102378463,True,True,reactive,0.8387778812522675,0.671022305001814,3,4,3,0.49128414029732337,75.30022597810908,72.30022597810908,0.1637613800991078
3,hybrid,70.79102726916808,67.79102726916808,0.11870008953911235,True,True,reactive,0.8092362635573662,0.6473890108458931,3,4,4,0.6099842298364357,74.17292630087383,71.17292630087383,0.15249605745910894
4,hybrid,69.83431780879604,66.83431780879604,0.10864374361833848,True,True,reactive,0.7725424147783582,0.6180339318226866,3,4,5,0.7186279734547742,73.30520460245828,70.30520460245828,0.14372559469095486
5,hybrid,77.07032022238417,74.07032022238417,0.1808583217513256,True,True,reactive,0.7616339645612953,0.6093071716490362,1,4,6,0.8994862952060998,73.40836013605707,70.40836013605707,0.14477201507802423
6,hybrid,77.02964798415556,74.02964798415556,0.1809567207674303,True,True,reactive,0.7995180694406054,0.6396144555524844,2,4,7,1.08044301597353,73.39281177570919,70.39281177570919,0.14454600733999828
7,hybrid,73.8709242656983,70.8709242656983,0.1488693545868798,True,True,reactive,0.762008394742251,0.6096067157938009,2,4,8,1.2293123705604099,73.71924751004043,70.71924751004043,0.1476056460526173
8,hybrid,70.36765165780727,67.36765165780727,0.11405839733162657,True,True,reactive,0.7786410565165399,0.622912845213232,2,4,9,1.3433707678920364,73.63457238776827,70.63457238776827,0.14667730761112013
9,hybrid,67.27910858370944,64.27910858370944,0.08308295063690217,True,True,reactive,0.7718898599855765,0.6175118879884612,3,4,10,1.4264537185289385,73.12353054275096,70.12353054275096,0.14156514901483291
10,hybrid,72.95966073536088,69.95966073536088,0.14039581305901444,True,True,reactive,0.8099404279054149,0.647952342324332,3,3,11,1.566849531587953,72.30139864534628,69.30139864534628,0.13347264727637068
11,hybrid,71.82050418350218,68.82050418350218,0.1289085934551043,True,True,reactive,0.8027663715061866,0.6422130972049493,3,2,12,1.6957581250430573,71.25956988521561,68.25956988521561,0.12306302181390545
12,hybrid,71.64919763601462,68.64919763601462,0.12746489356584897,True,True,reactive,0.8229687904277044,0.6583750323421635,4,2,13,1.8232230186089062,70.81522455927889,67.81522455927889,0.11878212960969929
13,hybrid,74.26615285611072,71.26615285611072,0.15286805158518912,True,True,reactive,0.7654892268061486,0.6123913814449189,3,4,14,1.9760910701940952,71.59492479893956,68.59492479893956,0.1265440604604118
14,hybrid,73.67856201070877,70.67856201070877,0.14668607103591771,True,True,reactive,0.7425338196622459,0.5940270557297967,3,4,15,2.122777141230013,72.87481548433944,69.87481548433944,0.13926468454021493
15,hybrid,3.0,0.0,0.010264580902881487,False,False,,0.7698435677161116,0.6158748541728893,3,4,15,2.133041722132895,58.88288333726725,55.88288333726725,0.11323843810898833
16,hybrid,3.0,0.0,0.010158992675805724,False,False,,0.7619244506854294,0.6095395605483436,3,4,15,2.1432007148087004,45.11878250056682,42.11878250056682,0.08948851795312861
17,hybrid,3.0,0.0,0.010610918219405333,False,False,,0.7958188664554,0.63665509316432,2,3,15,2.1538116330281056,31.388942973363896,28.388942973363896,0.06611772288383988
18,hybrid,3.0,0.0,0.010395055042892946,False,False,,0.7796291282169711,0.6237033025735769,2,4,15,2.1642066880709985,17.135712402141756,14.135712402141754,0.03762312357538064
19,hybrid,3.0,0.0,0.010757895731277469,False,False,,0.8068421798458103,0.6454737438766482,3,4,15,2.174964583802276,3.0,0.0,0.010437488514452592
