scenario,model,metric,value
limited_resources,threshold,avg_migrations,1.051
limited_resources,threshold,total_migrations,1051.0
limited_resources,threshold,avg_latency,24.466696636622377
limited_resources,threshold,avg_jitter,9.70019630143056
limited_resources,threshold,avg_cpu,0.7593385753429961
limited_resources,threshold,avg_ram,0.6074708602743969
limited_resources,threshold,avg_energy,0.023004303769733104
limited_resources,threshold,max_latency,106.80023885725114
limited_resources,threshold,max_jitter,101.80023885725114
limited_resources,threshold,reactive_migrations,
limited_resources,threshold,proactive_migrations,
limited_resources,qlearning,avg_migrations,0.85
limited_resources,qlearning,total_migrations,850.0
limited_resources,qlearning,avg_latency,6.489951375006023
limited_resources,qlearning,avg_jitter,4.9773665411354475
limited_resources,qlearning,avg_cpu,0.7593385753429961
limited_resources,qlearning,avg_ram,0.6074708602743969
limited_resources,qlearning,avg_energy,0.01809609110855314
limited_resources,qlearning,max_latency,106.80023885725114
limited_resources,qlearning,max_jitter,101.80023885725114
limited_resources,qlearning,reactive_migrations,
limited_resources,qlearning,proactive_migrations,
limited_resources,hybrid,avg_migrations,0.792
limited_resources,hybrid,total_migrations,792.0
limited_resources,hybrid,avg_latency,7.263510912472369
limited_resources,hybrid,avg_jitter,8.527021824944738
limited_resources,hybrid,avg_cpu,0.7593385753429961
limited_resources,hybrid,avg_ram,0.6074708602743969
limited_resources,hybrid,avg_energy,0.015470478061533439
limited_resources,hybrid,max_latency,106.80023885725114
limited_resources,hybrid,max_jitter,101.80023885725114
limited_resources,hybrid,reactive_migrations,412.0
limited_resources,hybrid,proactive_migrations,380.0
