scenario,model,metric,value
mixed,threshold,avg_migrations,0.527
mixed,threshold,total_migrations,527.0
mixed,threshold,avg_latency,17.22894699899821
mixed,threshold,avg_jitter,6.306509495557821
mixed,threshold,avg_cpu,0.5201718832851537
mixed,threshold,avg_ram,0.41613750662812304
mixed,threshold,avg_energy,0.017218999048711815
mixed,threshold,max_latency,106.33863234825434
mixed,threshold,max_jitter,101.3139208183205
mixed,threshold,reactive_migrations,
mixed,threshold,proactive_migrations,
mixed,qlearning,avg_migrations,0.537
mixed,qlearning,total_migrations,537.0
mixed,qlearning,avg_latency,5.970418441401635
mixed,qlearning,avg_jitter,3.940836882803271
mixed,qlearning,avg_cpu,0.5201718832851537
mixed,qlearning,avg_ram,0.41613750662812304
mixed,qlearning,avg_energy,0.015729463235417518
mixed,qlearning,max_latency,106.33863234825434
mixed,qlearning,max_jitter,101.3139208183205
mixed,qlearning,reactive_migrations,
mixed,qlearning,proactive_migrations,
mixed,hybrid,avg_migrations,0.519
mixed,hybrid,total_migrations,519.0
mixed,hybrid,avg_latency,6.587449412895575
mixed,hybrid,avg_jitter,7.174898825791153
mixed,hybrid,avg_cpu,0.5201718832851537
mixed,hybrid,avg_ram,0.41613750662812304
mixed,hybrid,avg_energy,0.013368592815092548
mixed,hybrid,max_latency,106.33863234825434
mixed,hybrid,max_jitter,101.3139208183205
mixed,hybrid,reactive_migrations,297.0
mixed,hybrid,proactive_migrations,222.0
