time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,hybrid,77.01347627621702,74.01347627621702,0.18068330160144153,True,True,reactive,0.7911404129453498,0.6329123303562798,3,0,1,0.18068330160144153,77.01347627621702,74.01347627621702,0.18068330160144153
1,hybrid,75.39601849058836,72.39601849058836,0.16434592076804394,True,True,reactive,0.7789301896620221,0.6231441517296177,3,1,2,0.34502922236948547,76.20474738340269,73.20474738340269,0.17251461118474273
2,hybrid,74.19857153112665,71.19857153112665,0.15275748985742435,True,True,reactive,0.8078830909618451,0.6463064727694761,3,3,3,0.49778671222690984,75.53602209931067,72.53602209931067,0.16592890407563662
3,hybrid,72.79928468004243,69.79928468004243,0.13873196336790541,True,True,reactive,0.8054337425610809,0.6443469940488648,3,4,4,0.6365186755948152,74.85183774449362,71.85183774449362,0.1591296688987038
4,hybrid,3.0,0.0,0.010859071621645473,False,False,,0.8144303716234105,0.6515442972987284,3,4,4,0.6473777472164607,60.481470195594895,57.481470195594895,0.12947554944329215
5,hybrid,3.0,12.0,0.010830325773395637,False,False,,0.8122744330046728,0.6498195464037383,4,4,4,0.6582080729898563,45.67877494035149,45.07877494035149,0.09550495427768296
6,hybrid,40.78603594338453,37.78603594338453,0.09682083145583506,True,True,proactive,0.7899407931569109,0.6319526345255287,3,4,5,0.7550289044456914,38.75677843091072,38.15677843091072,0.0819999364152412
7,hybrid,3.0,0.0,0.010807720291137999,False,False,,0.81057902183535,0.6484632174682801,4,4,5,0.7658366247368293,24.517064124685394,23.917064124685393,0.05360998250198392
8,hybrid,3.0,12.0,0.010583509723138637,False,False,,0.7937632292353978,0.6350105833883183,3,4,5,0.7764201344599679,10.557207188676907,12.357207188676906,0.027980291773030564
9,hybrid,77.14671360761197,74.14671360761197,0.18226006658017826,True,True,reactive,0.8094697878043963,0.6475758302435171,4,4,6,0.9586802010401462,25.3865499101993,27.1865499101993,0.06226049076473712
10,hybrid,3.0,0.0,0.010816722428574167,False,False,,0.8112541821430626,0.6490033457144501,4,4,6,0.9694969234687203,25.3865499101993,24.7865499101993,0.06225777009577284
11,hybrid,77.48726144702619,74.48726144702619,0.18577081517960908,True,True,reactive,0.8173650532010446,0.6538920425608357,3,4,7,1.1552677386483294,32.72679501092763,32.12679501092763,0.08004776684052764
12,hybrid,75.01084676115335,72.01084676115335,0.1606398354671146,True,True,reactive,0.7898525891685904,0.6318820713348723,3,4,8,1.315907574115444,47.128964363158296,46.528964363158295,0.11001418987572295
13,hybrid,73.12629666183143,70.12629666183143,0.1418760513240333,True,True,reactive,0.7959813529289226,0.6367850823431381,3,4,9,1.4577836254394774,61.15422369552459,58.15422369552459,0.13627269819590188
14,hybrid,72.55020298796302,69.55020298796302,0.13621692387306322,True,True,reactive,0.8036170495074832,0.6428936396059867,3,4,10,1.5940005493125406,60.2349215715948,57.2349215715948,0.12706406965447886
15,hybrid,69.14018916316897,66.14018916316897,0.10212991569104254,True,True,reactive,0.8046018044514587,0.643681443561167,3,4,11,1.696130465003583,73.4629594042286,70.4629594042286,0.14532670830697256
16,hybrid,67.14508680903144,64.14508680903144,0.08218748202083583,True,True,reactive,0.8052460447891032,0.6441968358312826,3,4,12,1.778317947024419,71.39452447662964,68.39452447662964,0.1246100416752179
17,hybrid,3.0,12.0,0.010726755027466225,False,False,,0.804506627059967,0.6436053016479737,3,4,12,1.7890447020518851,56.992355124398976,56.392355124398975,0.09462742558728823
18,hybrid,66.2100726229183,63.210072622918304,0.07263373924540893,True,True,reactive,0.7899759762169463,0.631980780973557,3,4,13,1.861678441297294,55.60911031661635,55.00911031661635,0.08077896317156334
19,hybrid,77.1418908369432,74.1418908369432,0.1820853795617773,True,True,reactive,0.7999853394258928,0.6399882715407142,3,3,14,2.043763820859071,56.52744788641238,55.92744788641238,0.08995265430930617
20,hybrid,77.38163577630475,74.38163577630475,0.1844422038959021,True,True,reactive,0.7969384599640981,0.6375507679712785,3,4,15,2.2282060247549733,58.17573720903954,57.57573720903954,0.10641511195027809
21,hybrid,3.0,0.0,0.010739693127892998,False,False,,0.8054769845919749,0.64438158767358,3,4,15,2.2389457178828662,45.346719847233246,44.74671984723325,0.09212555417168952
22,hybrid,3.0,0.0,0.010555262499751522,False,False,,0.7916446874813643,0.6333157499850914,3,3,15,2.2495009803826176,45.346719847233246,42.346719847233246,0.09209125566614658
23,hybrid,76.67240129927887,73.67240129927887,0.17723714214181666,True,True,reactive,0.7884846861770916,0.6307877489416733,3,4,16,2.4267381225244344,47.43918558250537,44.43918558250537,0.11301193624542812
24,hybrid,77.34309651683964,74.34309651683964,0.18419670856053894,True,True,reactive,0.8074307544106933,0.6459446035285548,3,4,17,2.6109348310849736,47.479426718484646,44.479426718484646,0.11343420204518044
25,hybrid,35.97472801927706,32.97472801927706,0.058121332205108234,True,True,proactive,0.7742631038168821,0.6194104830535058,3,3,18,2.6690561632900818,39.198045167079115,36.198045167079115,0.08817002770702168
26,hybrid,74.38842030282471,71.38842030282471,0.15437537054646414,True,True,reactive,0.7868375638662717,0.6294700510930173,2,4,19,2.823431533836546,53.47572922764406,50.47572922764406,0.11689716319073588
27,hybrid,74.53769647951219,71.53769647951219,0.1558094067091132,True,True,reactive,0.7824331435493499,0.6259465148394799,3,4,20,2.979240940545659,67.7832685235465,64.7832685235465,0.14594799203260825
28,hybrid,71.13883365722852,68.13883365722852,0.12149086037747805,True,True,reactive,0.7576892853894618,0.6061514283115694,2,3,21,3.1007318009231373,66.67655499513643,63.67655499513643,0.1347987356797405
29,hybrid,68.54178915233335,65.54178915233335,0.09554309678291259,True,True,reactive,0.7593903944684336,0.6075123155747469,3,4,22,3.1962748977060498,64.91629352223518,61.91629352223517,0.11706801332421524
30,hybrid,67.8101280017952,64.8101280017952,0.08812775513132463,True,True,reactive,0.751985633502944,0.6015885068023552,3,4,23,3.2844026528373744,71.2833735187388,68.2833735187388,0.12306929790945853
