time,model,latency,jitter,energy_consumption,migration_performed,migration_success,migration_mode,cpu_utilization,ram_utilization,overloaded_nodes,predicted_overloads,migrations,cumulative_energy,smooth_latency,smooth_jitter,smooth_energy
0,qlearning,4.057036850776797,0.0,0.01635342573374895,False,False,proactive,0.78425333103599,0.627402664828792,3,4,0,0.01635342573374895,4.057036850776797,0.0,0.01635342573374895
1,qlearning,4.1613987992078565,0.10436194843105984,0.0159090552682146,False,False,proactive,0.7888503858992666,0.6310803087194133,3,4,0,0.03226248100196355,4.109217824992326,0.05218097421552992,0.016131240500981775
2,qlearning,3.704517198770338,0.45688160043751846,0.016523295154948967,False,False,proactive,0.8048594263800717,0.6438875411040574,4,4,0,0.048785776156912514,3.974317616251664,0.18708118295619278,0.016261925385637505
3,qlearning,4.328417455403455,0.6239002566331173,0.015883478216646298,False,False,proactive,0.7999314189620248,0.6399451351696199,3,4,0,0.0646692543735588,4.062842576039611,0.2962859513754239,0.016167313593389705
4,qlearning,3.957591168915131,0.3708262864883243,0.016332607324069777,False,False,proactive,0.8073070080332795,0.6458456064266236,4,4,0,0.08100186169762857,4.041792294614716,0.311194018398004,0.016200372339525718
5,qlearning,30.07716458211715,26.11957341320202,0.06653201172000182,True,True,proactive,0.7914982838427911,0.6331986270742329,3,4,1,0.1475338734176304,9.245817840882786,5.535108701038408,0.026236089536776298
6,qlearning,3.940203954923952,26.136960627193197,0.015872679647501286,False,False,proactive,0.7915053800034455,0.6332043040027564,4,4,1,0.1634065530651317,9.201578872026005,10.741628436790837,0.026228814412633628
7,qlearning,3.6729070082117414,0.2672969467122104,0.015789117887779876,False,False,proactive,0.8068017778093391,0.6454414222474714,4,4,1,0.17919567095291156,9.195256833914287,10.703711506045774,0.026081978959199816
8,qlearning,4.116420652339031,0.44351364412729,0.015510825454399153,False,False,proactive,0.8142744741228392,0.6514195792982713,4,4,1,0.19470649640731072,9.1528574733014,10.66763418354461,0.026007448406750382
9,qlearning,3.7475954205669177,0.3688252317721137,0.016706899553529907,False,False,proactive,0.8218579556519842,0.6574863645215874,4,4,1,0.21141339596084063,9.110858323631758,10.667233972601366,0.02608230685264241
10,qlearning,3.7678735675370323,0.02027814697011454,0.016628846648639808,False,False,proactive,0.8095183118911705,0.6476146495129365,3,4,1,0.22804224260948044,3.849000120715735,5.447374919354985,0.016101673838370006
11,qlearning,4.070593429547087,0.3027198620100551,0.016721052031573813,False,False,proactive,0.8076675141915574,0.6461340113532459,4,4,1,0.24476329464105426,3.875078015640362,0.2805267663183567,0.016271348315184512
12,qlearning,31.88089699541287,27.81030356586578,0.08494060376432665,True,True,proactive,0.8001175986751654,0.6400940789401324,3,4,2,0.3297038984053809,9.516676013080588,5.789128090149071,0.030101645490493868
13,qlearning,3.864276919144381,28.016620076268488,0.016293453763694614,False,False,proactive,0.8124311286139829,0.6499449028911863,3,4,2,0.3459973521690755,9.466247266441659,11.303749376577311,0.030258171152352957
14,qlearning,3.9527362898136325,0.08845937066925158,0.016873951714366453,False,False,proactive,0.8102518131325251,0.6482014505060202,3,4,2,0.36287130388344196,9.507275440291,11.247676204356738,0.030291581584520267
15,qlearning,3.8497725537048137,0.1029637361088187,0.015725093673808616,False,False,proactive,0.8059913058872237,0.6447930447097789,4,4,2,0.3785963975572506,9.523655237524556,11.264213322184478,0.030110830989554034
16,qlearning,3.9774341126223276,0.12766155891751385,0.016062453227459115,False,False,proactive,0.8097776183067258,0.6478220946453807,3,4,2,0.39465885078470975,9.505023374139604,11.22920166156597,0.029979111228731092
17,qlearning,4.3585687966329765,0.38113468401064887,0.015317298911706983,False,False,proactive,0.7926340470109717,0.6341072376087774,3,4,2,0.4099761496964167,4.0005577343836265,5.743367885194944,0.016054450258207155
18,qlearning,3.774060322599176,0.5845084740338007,0.01641220830723695,False,False,proactive,0.8036531654936542,0.6429225323949234,3,4,2,0.42638835800365366,3.982514415074585,0.2569455647480067,0.016078201166915624
19,qlearning,3.98703900367377,0.21297868107459417,0.015184122411970914,False,False,proactive,0.7831576519943031,0.6265261215954425,3,4,2,0.4415724804156246,3.989374957846613,0.28184942682907527,0.015740235306436517
20,qlearning,3.9770111360711153,0.010027867602654617,0.0158309390417366,False,False,proactive,0.7955045335557878,0.6364036268446303,3,4,2,0.4574034194573612,4.014822674319873,0.26326225312784246,0.015761404380022114
21,qlearning,31.088159439646486,27.11114830357537,0.07701587476630424,True,True,proactive,0.7847515324912404,0.6278012259929924,3,4,3,0.5344192942236654,9.436967739724704,5.659959602059414,0.027952088687791133
22,qlearning,3.903992948669055,27.184166490977432,0.015077147203200874,False,False,proactive,0.7868163446620895,0.6294530757296717,2,4,3,0.5494964414268663,9.34605257013192,11.020565963452771,0.027904058346089916
23,qlearning,4.207547888045085,0.3035549393760304,0.01447624404407424,False,False,proactive,0.7588803283186772,0.6071042626549419,2,4,3,0.5639726854709405,9.432750083221103,10.964375256521217,0.02751686549345737
24,qlearning,30.445120996287404,26.23757310824232,0.06984852947044361,True,True,proactive,0.7738643196510436,0.6190914557208349,3,4,4,0.6338212149413841,14.724366481743829,16.16929414195476,0.03844974690515191
25,qlearning,3.652693319151613,26.79242767713579,0.015113217979377059,False,False,proactive,0.7663538952039122,0.6130831161631298,2,3,4,0.6489344329207611,14.65950291835993,21.525774103861387,0.03830620269268
26,qlearning,4.2740484181566005,0.6213550990049876,0.015500451332287692,False,False,proactive,0.7923945460615884,0.6339156368492708,3,4,4,0.6644348842530489,9.296680714061953,16.227815462947312,0.026003118005876697
27,qlearning,4.147363764684661,0.1266846534719397,0.016392486042957115,False,False,proactive,0.7828208710120852,0.6262566968096682,3,4,4,0.6808273702960059,9.345354877265072,10.816319095446215,0.026266185773827944
28,qlearning,3.7143998624867933,0.4329639021978675,0.015360871939063395,False,False,proactive,0.7588549479235893,0.6070839583388715,2,4,4,0.6961882422350694,9.246725272153414,10.84220088801058,0.026443111352825777
