scenario,model,metric,value
standard,threshold,avg_migrations,0.339
standard,threshold,total_migrations,339.0
standard,threshold,avg_latency,36.347353087853044
standard,threshold,avg_jitter,15.751558188102837
standard,threshold,avg_cpu,0.7109805264021812
standard,threshold,avg_ram,0.568784421121745
standard,threshold,avg_energy,0.03363565843410472
standard,threshold,max_latency,105.97946920962121
standard,threshold,max_jitter,100.97946920962121
standard,threshold,reactive_migrations,
standard,threshold,proactive_migrations,
standard,qlearning,avg_migrations,0.333
standard,qlearning,total_migrations,333.0
standard,qlearning,avg_latency,9.013480871263718
standard,qlearning,avg_jitter,10.026961742527437
standard,qlearning,avg_cpu,0.7109805264021812
standard,qlearning,avg_ram,0.568784421121745
standard,qlearning,avg_energy,0.02889441924068081
standard,qlearning,max_latency,105.97946920962121
standard,qlearning,max_jitter,100.97946920962121
standard,qlearning,reactive_migrations,
standard,qlearning,proactive_migrations,
standard,hybrid,avg_migrations,0.336
standard,hybrid,total_migrations,336.0
standard,hybrid,avg_latency,12.115739301351594
standard,hybrid,avg_jitter,18.196619432527235
standard,hybrid,avg_cpu,0.7109805264021812
standard,hybrid,avg_ram,0.568784421121745
standard,hybrid,avg_energy,0.026267260408183828
standard,hybrid,max_latency,105.97946920962121
standard,hybrid,max_jitter,100.97946920962121
standard,hybrid,reactive_migrations,183.0
standard,hybrid,proactive_migrations,153.0
