threshold,qlearning,hybrid
880.0,865.0,865.0
882.3598606693635,867.2598673358967,867.2598673358967
884.7188854196236,869.5189387486904,869.5189387486903
887.0762386552344,871.7764186228372,871.7764186228371
889.4310854276359,874.0315119577901,874.0315119577903
891.7825917584271,876.283424675193,876.2834246751931
894.1299249621519,878.5313639257073,878.5313639257072
896.4722539685748,880.7745383953537,880.7745383953536
898.8087496443148,883.0121586112436,883.0121586112434
901.1385851137106,885.2434372465816,885.2434372465815
903.4609360787916,887.4675894248164,887.4675894248167
905.774981138225,889.6838330228205,889.6838330228207
891.8913889729791,891.8913889729791,891.891388972979
894.0894815640636,894.0894815640636,894.0894815640636
896.2773387407832,896.2773387407832,896.2773387407833
898.4541924018766,898.4541924018766,898.4541924018769
900.619278696644,900.619278696644,900.6192786966441
902.7718383197895,902.7718383197895,902.7718383197894
904.9111168044635,904.9111168044635,904.9111168044633
907.0363648133875,907.0363648133875,907.0363648133874
909.146838427944,909.146838427944,909.1468384279439
911.2417994351189,911.2417994351189,911.2417994351187
913.3205156121813,913.3205156121813,913.3205156121813
915.3822610089913,915.3822610089913,915.382261008991
917.4263162278174,917.4263162278174,917.4263162278177
919.4519687005619,919.4519687005619,919.451968700562
921.4585129632727,921.4585129632727,921.4585129632726
923.4452509278439,923.4452509278439,923.4452509278437
925.4114921507919,925.4114921507919,925.411492150792
927.3565540990019,927.3565540990019,927.356554099002
929.2797624123364,929.2797624123364,929.2797624123366
931.1804511630077,931.1804511630077,931.1804511630079
933.0579631116073,933.0579631116073,933.0579631116074
934.9116499596914,934.9116499596914,934.9116499596915
936.7408725988241,936.7408725988241,936.7408725988239
938.5450013559768,938.5450013559768,938.5450013559769
940.3234162351933,940.3234162351933,940.3234162351932
942.0755071554127,942.0755071554127,942.0755071554123
943.8006741843695,943.8006741843695,943.8006741843698
945.4983277684728,945.4983277684728,945.4983277684728
947.1678889585661,947.1678889585661,947.167888958566
948.8087896314943,948.8087896314943,948.8087896314943
950.4204727073763,950.4204727073763,950.4204727073761
952.002392362503,952.002392362503,952.0023923625027
953.554014237778,953.554014237778,953.554014237778
955.0748156426151,955.0748156426151,955.074815642615
956.5642857542134,956.5642857542134,956.5642857542135
958.0219258121324,958.0219258121324,958.0219258121323
959.4472493080884,959.4472493080884,959.4472493080882
960.8397821708987,960.8397821708987,960.8397821708987
962.1990629465017,962.1990629465017,962.1990629465015
963.5246429729742,963.5246429729742,963.5246429729741
964.8160865504916,964.8160865504916,964.8160865504916
966.0729711061484,966.0729711061484,966.0729711061483
967.2948873535821,967.2948873535821,967.2948873535821
968.4814394473401,968.4814394473401,968.4814394473402
969.6322451319197,969.6322451319197,969.6322451319196
970.7469358854314,970.7469358854314,970.7469358854316
971.8251570578257,971.8251570578257,971.8251570578254
972.8665680036222,972.8665680036222,972.8665680036222
973.870842209108,973.870842209108,973.8708422091079
974.8376674139288,974.8376674139288,974.8376674139287
975.7667457270493,975.7667457270493,975.7667457270492
976.6577937370208,976.6577937370208,976.6577937370206
977.5105426165228,977.5105426165228,977.5105426165226
978.3247382211308,978.3247382211308,978.3247382211308
979.1001411822789,979.1001411822789,979.1001411822789
979.8365269943712,979.8365269943712,979.8365269943714
980.5336860960197,980.5336860960197,980.53368609602
981.1914239453647,981.1914239453647,981.1914239453649
981.8095610894603,981.8095610894603,981.8095610894605
982.3879332276886,982.3879332276886,982.3879332276887
982.9263912691832,982.9263912691832,982.9263912691833
983.4248013842393,983.4248013842393,983.4248013842392
983.8830450496891,983.8830450496891,983.883045049689
984.3010190882251,984.3010190882251,984.3010190882252
984.6786357016604,984.6786357016604,984.6786357016603
985.0158224981055,990.7119577367328,985.0158224981054
985.3125225130613,991.0158019322616,965.3128139119116
985.568694224414,991.2790474968316,965.5689059919205
985.7843115613259,985.7843115613258,965.7864435461183
985.9593639070247,985.9593639070248,965.9654151896722
986.09385609549,986.0938560954899,966.105824188894
986.1878084020293,986.1878084020294,966.2076884524469
986.2412565277682,986.2412565277681,966.2710405167777
986.2542515780349,986.2542515780349,966.2959275257728
986.2268600346764,986.2268600346765,966.2824112046529
986.1591637222957,986.1591637222957,966.230567828118
986.0512597684366,986.0512597684366,966.1404881827484
985.90326055773,985.90326055773,966.0122775236897
985.7152936800177,985.7152936800178,965.8460555256269
985.4875018724817,985.4875018724815,965.6419562280794
985.2200429557917,985.2200429557917,965.4001279750296
984.913089764313,984.9130897643129,965.1207333489183
984.5668300703855,984.5668300703855,964.8039490990277
984.1814665027216,984.1814665027218,964.4499660642847
983.7572164589418,983.7572164589418,964.0589890905152
983.294312012293,983.2943120122932,963.6312369421821
982.7929998125871,982.792999812587,963.1669422086461
982.2535409813905,982.2535409813905,962.6663512049817
981.6762110015239,981.6762110015239,962.1297238673957
981.0612996008983,981.0612996008982,961.557333643285
980.4091106307483,980.4091106307483,960.9494673759812
979.719961938307,979.7199619383073,960.3064251842274
978.994185233974,978.9941852339741,959.6285203364365
978.2321259530273,978.2321259530274,958.9160791197831
977.4341431119431,977.434143111943,958.1694407041784
976.6006091593696,976.6006091593697,957.3889570011866
975.731909821833,975.731909821833,956.5749925179396
974.8284439442119,974.8284439442119,955.7279242061052
973.8906233250725,973.8906233250725,954.8481413059747
972.9188725469097,972.9188725469098,953.9360451857293
971.9136288013741,971.9136288013741,952.9920491759519
970.8753417095497,970.8753417095498,952.0165783994491
969.8044731373592,969.8044731373592,951.0100695964546
968.7014970061671,968.7014970061672,949.9729709452836
967.5668990986574,967.5668990986575,948.9057418785062
966.401176860068,966.401176860068,947.8088528947222
965.2048391948551,965.2048391948554,946.6827853660045
963.9784062588792,963.9784062588791,945.5280313410942
962.7224092471796,962.7224092471797,944.3450933444236
961.437390177446,961.4373901774461,943.1344841710501
960.1239016692516,960.1239016692518,941.8967266775796
958.7825067191511,958.7825067191509,940.6323535691715
957.413778471726,957.413778471726,939.3419071826975
956.0182999866772,956.0182999866771,938.0259392661573
954.5966640020463,954.5966640020463,936.6850107544261
953.1494726936756,953.1494726936756,935.319691541432
951.6773374309894,951.6773374309893,933.9305602488537
950.1808785292026,950.1808785292027,932.5182039914245
948.6607249980584,948.6607249980582,931.0832181389508
947.1175142871832,947.1175142871832,929.6262060751238
945.5518920281789,945.551892028179,928.1477789532356
943.9645117735405,943.9645117735405,926.6485554488888
942.3560347325091,942.3560347325092,925.1291615098
940.7271295039734,940.7271295039735,923.5902301028043
939.0784718065132,939.0784718065131,922.0324009581531
937.4107442057029,937.4107442057029,920.4563203112109
935.724635838785,935.7246358387852,918.86264064166
934.0208421368145,934.0208421368145,917.2520204103088
932.3000645443956,932.3000645443956,915.625123793616
930.5630102371185,930.5630102371188,913.9826204160333
928.8103918368108,928.8103918368109,912.3251850802768
927.0429271247142,927.0429271247142,910.6534974956312
925.261338752706,925.2613387527063,908.9682420044007
923.4663539526815,923.4663539526815,907.2701073066116
921.6587042442052,921.6587042442052,905.5597861830796
919.839125140561,919.839125140561,903.8379752169521
918.0083558533072,918.0083558533073,902.1053745138358
916.1671389954618,916.1671389954615,900.3626874206243
914.316220283433,914.3162202834333,898.610620243134
912.4563482378212,912.4563482378213,896.8498819626683
910.5882738831979,910.588273883198,895.0811839516151
908.7127504469989,908.7127504469988,893.3052396881974
906.8305330576392,906.8305330576391,891.5227644704893
904.9423784419793,904.9423784419794,889.7344751298131
903.0490446222577,903.0490446222577,887.9410897436272
901.1512906126121,901.1512906126122,886.1433273480299
899.2498761153144,899.2498761153145,884.3419076499797
897.3455612168372,897.3455612168372,882.5375507393633
895.4391060838741,895.4391060838741,880.730976801012
893.5312706594377,893.5312706594377,878.922905826792
891.6228143591537,891.6228143591537,877.114057327879
889.7144957678724,889.7144957678722,875.3051500473314
887.8070723367236,887.8070723367236,873.4969016730797
885.9013000807324,885.9013000807324,871.6900285514487
883.9979332771136,883.9979332771137,869.885245401318
882.097724164373,882.097724164373,868.0832650290462
880.2014226423295,880.2014226423296,866.2847980442665
878.3097759731833,878.3097759731832,864.4905525766677
876.4235284837397,876.4235284837398,862.701233993874
874.5434212689248,874.5434212689247,860.9175446205405
872.6701918966902,872.6701918966903,859.1401834587682
870.8045741144435,870.8045741144437,857.3698459099584
868.9472975571099,868.94729755711,855.6072234982137
867.0990874569477,867.0990874569477,853.853003595396
865.2606643552291,865.260664355229,852.1078691479513
863.4327438159052,863.4327438159053,850.3724984056138
861.61603614137,861.6160361413699,848.6475646520919
859.8112460904307,859.8112460904306,846.9337359378486
858.0190725986041,858.0190725986041,845.2316748150782
856.2402085008486,856.2402085008487,843.5420380749935
854.4753402568388,854.4753402568388,841.8654764875155
852.7251476788983,852.7251476788985,840.2026345434826
850.9903036626941,850.9903036626943,838.5541501994729
849.2714739208039,849.2714739208039,836.9206546253464
847.5693167192588,847.5693167192587,835.3027719546052
845.8844826171709,845.8844826171709,833.7011190376727
844.2176142095472,844.2176142095469,832.1163051981908
842.5693458733891,842.569345873389,830.548931992428
840.9403035171883,840.9403035171886,828.9995929719021
839.3311043339077,839.3311043339077,827.4688734493039
837.7423565575501,837.7423565575501,825.9573502678197
836.1746592234211,836.174659223421,824.4655915739456
834.6286019321606,834.6286019321608,822.9941565938786
833.1047646176615,833.1047646176617,821.5435954135817
831.6037173189477,831.6037173189475,820.1144487626016
830.1260199561133,830.1260199561132,818.7072478017329
828.6722221104119,828.6722221104117,817.3225139146081
827.2428628085779,827.2428628085779,815.9607585032993
825.8384703114715,825.8384703114714,814.622482788011
824.4595619071248,824.4595619071249,813.308177610945
823.1066437082828,823.1066437082827,812.0183232444159
821.7802104545033,821.7802104545033,810.7533892032905
820.4807453189137,820.4807453189138,809.5138340618299
819.2087197196824,819.2087197196824,808.3001052750046
817.9645931362949,817.9645931362949,807.1126390043516
816.7488129306985,816.7488129306984,805.9518599484494
815.5618141733911,815.561814173391,804.8181811780688
814.4040194745215,814.4040194745215,803.7120039760755
813.2758388200688,813.2758388200687,802.6337176821364
812.1776694131624,812.1776694131623,801.5836995423039
811.1098955206145,811.1098955206145,800.5623145635246
810.0728883247165,810.0728883247166,799.5699153731425
809.0670057803607,809.0670057803607,798.6068420834428
808.0925924775476,808.0925924775477,797.673422161295
807.1499795093295,807.1499795093297,796.7699703029457
806.2394843452437,806.2394843452438,795.89678831401
805.3614107102841,805.3614107102841,795.0541649947097
804.5160484694625,804.5160484694625,794.2423760304027
803.703673518001,803.7036735180011,793.4616838874487
802.9245476772022,802.9245476772022,792.7123377144485
802.1789185960339,802.1789185960339,791.9945732489006
801.4670196584749,801.4670196584749,791.3086127293086
800.7890698966476,800.7890698966477,790.6546648127735
800.145273909781,800.145273909781,790.0329244981065
